BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,
Large Mall Evacuation model.nlogo,,,,,,,,,,
experiment,,,,,,,,,,
04/25/2021 10:25:52:277 +0100,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,
-20,20,-20,20,,,,,,,
[run number],staff-number,visitor-number,visitor-visible-radius,[step],Remaining-visitor-number,,,Ratio,,Mean
230,50,150,3,36,48,,,0.32,,
231,50,200,3,35,52,,,0.26,,0.3075
232,50,200,3,35,70,,,0.35,,
233,50,200,3,38,63,,,0.315,,
234,50,200,3,37,69,,,0.345,,
235,50,200,3,37,49,,,0.245,,
236,50,200,3,36,73,,,0.365,,
237,50,200,3,37,55,,,0.275,,
238,50,200,3,37,68,,,0.34,,
239,50,200,3,36,52,,,0.26,,
240,50,200,3,35,64,,,0.32,,
241,50,250,3,37,56,,,0.224,,0.3024
242,50,250,3,38,85,,,0.34,,
243,50,250,3,38,84,,,0.336,,
244,50,250,3,36,84,,,0.336,,
245,50,250,3,36,94,,,0.376,,
246,50,250,3,39,44,,,0.176,,
247,50,250,3,38,63,,,0.252,,
248,50,250,3,38,92,,,0.368,,
249,50,250,3,39,83,,,0.332,,
250,50,250,3,36,71,,,0.284,,
